family	symbol	arguments	kind	raw_value	numeric_value_decimal	source_line
C	RTL8367C_REG_PORT1_EEEPRXMTR		REGISTER	0x003c	60	288
C	RTL8367C_REG_PTP_PORT1_CFG1		REGISTER	0x003e	62	290
C	RTL8367C_PTP_PORT1_CFG1_OFFSET		OFFSET_SHIFT	7	7	291
C	RTL8367C_PTP_PORT1_CFG1_MASK		MASK	0xFF	255	292
C	RTL8367C_REG_P1_MSIC1		REGISTER	0x003f	63	294
C	RTL8367C_P1_MSIC1_OFFSET		OFFSET_SHIFT	0	0	295
C	RTL8367C_P1_MSIC1_MASK		MASK	0x1	1	296
C	RTL8367C_REG_PORT2_CGST_HALF_CFG		REGISTER	0x0040	64	298
C	RTL8367C_PORT2_CGST_HALF_CFG_CONGESTION_TIME_OFFSET		OFFSET_SHIFT	4	4	299
C	RTL8367C_PORT2_CGST_HALF_CFG_CONGESTION_TIME_MASK		MASK	0xF0	240	300
C	RTL8367C_PORT2_CGST_HALF_CFG_CONGESTION_SUSTAIN_TIME_OFFSET		OFFSET_SHIFT	0	0	301
C	RTL8367C_PORT2_CGST_HALF_CFG_CONGESTION_SUSTAIN_TIME_MASK		MASK	0xF	15	302
C	RTL8367C_REG_PKTGEN_PORT2_CTRL		REGISTER	0x0041	65	304
C	RTL8367C_PKTGEN_PORT2_CTRL_STATUS_OFFSET		OFFSET_SHIFT	15	15	305
C	RTL8367C_PKTGEN_PORT2_CTRL_STATUS_MASK		MASK	0x8000	32768	306
C	RTL8367C_PKTGEN_PORT2_CTRL_PKTGEN_STS_OFFSET		OFFSET_SHIFT	13	13	307
C	RTL8367C_PKTGEN_PORT2_CTRL_PKTGEN_STS_MASK		MASK	0x2000	8192	308
C	RTL8367C_PKTGEN_PORT2_CTRL_CRC_NO_ERROR_OFFSET		OFFSET_SHIFT	4	4	309
C	RTL8367C_PKTGEN_PORT2_CTRL_CRC_NO_ERROR_MASK		MASK	0x10	16	310
C	RTL8367C_PKTGEN_PORT2_CTRL_CMD_START_OFFSET		OFFSET_SHIFT	0	0	311
C	RTL8367C_PKTGEN_PORT2_CTRL_CMD_START_MASK		MASK	0x1	1	312
C	RTL8367C_REG_TX_ERR_CNT_PORT2		REGISTER	0x0042	66	314
C	RTL8367C_TX_ERR_CNT_PORT2_OFFSET		OFFSET_SHIFT	0	0	315
