path,category,size_bytes,keywords,sha256_small_files
selected_sources/sdk/openwrt-21.02/package/base-files/files/etc/iproute2/ematch_map,base_files_init_scripts,81,,0b1d73102310eedcb0b6a6f1b104c40d9d7a33ab5150c88a4698d0d6ab2b8659
selected_sources/sdk/openwrt-21.02/package/base-files/files/etc/iproute2/rt_protos,base_files_init_scripts,152,,a0712b1771c8d5f3e0dcf9a6314880e71aa3498ea1ae873535bdfcf70d814061
selected_sources/sdk/openwrt-21.02/package/base-files/files/etc/iproute2/rt_tables,base_files_init_scripts,100,,f771e2b81741f70e3faf658dc504f0dc048672fc8caaadea15e46c35da3de8f8
selected_sources/sdk/openwrt-21.02/package/base-files/files/etc/openwrt_release,base_files_init_scripts,148,,7d7aca6cd9c60a7a6aa5f1ba9b3a0989c3011b6e75198b72769ade7db7ba7e58
selected_sources/sdk/openwrt-21.02/package/base-files/files/etc/openwrt_version,base_files_init_scripts,3,,06a5df811b7a2c06c83b7fd4984153cd1c06bec5c6bda9f5a0b184ee8a6c5fc9
selected_sources/sdk/openwrt-21.02/package/base-files/files/etc/passwd,base_files_init_scripts,190,,6a451aa33393f47ade89b8bce4d9711818c2630394c3967265ffed276bb25a55
selected_sources/sdk/openwrt-21.02/package/base-files/files/etc/preinit,base_files_init_scripts,586,,7254c466bd5461af81010c0bd422bdde1464b862c640a9c81ec07eaab995dda2
selected_sources/sdk/openwrt-21.02/package/base-files/files/etc/profile,base_files_init_scripts,1023,,e54cc63c8aad2a141c89c544c3f837fdc9f0d8ffa7a3bf44a6b0985404e935d8
selected_sources/sdk/openwrt-21.02/package/base-files/files/etc/protocols,base_files_init_scripts,2541,smi,7d551355d5540b07b9d86e623cbbc4abecbb94d2a662b3afcc917940eb0e3d52
selected_sources/sdk/openwrt-21.02/package/base-files/files/etc/rc.button/failsafe,base_files_init_scripts,87,,e3be88fc5e21d138e0f8fe8f6eb74da2f3664c5d130f764e79f24f6909513048
